id,nome,cognome,data_nascita,email,Matematica,Informatica,Italiano
1,Luigi,Gallo,2008-11-10,luigi.gallo@scuola.it,3,4,9
2,Tommaso,Rossi,2004-02-03,tommaso.rossi@scuola.it,7,6,7
3,Matteo,Simonetti,2004-07-20,matteo.simonetti@scuola.it,4,2,8
4,Tommaso,Simonetti,2007-04-24,tommaso.simonetti@scuola.it,9,5,9
5,Michele,Rossi,2004-05-07,michele.rossi@scuola.it,8,6,8
6,Marco,Gallo,2009-10-17,marco.gallo@scuola.it,2,6,6
7,Stefano,Sesto,2008-03-22,stefano.sesto@scuola.it,5,4,3
8,Chiara,Ronco,2008-09-30,chiara.ronco@scuola.it,5,2,10
9,Luigi,Sesto,2005-11-23,luigi.sesto@scuola.it,10,5,7
10,Matteo,Timo,2005-11-24,matteo.timo@scuola.it,7,6,4
11,Alex,Vanetti,2005-05-26,alex.vanetti@scuola.it,6,5,3
12,Tommaso,Vanetti,2008-04-15,tommaso.vanetti@scuola.it,7,5,9
13,Tommaso,Fulgori,2008-01-18,tommaso.fulgori@scuola.it,6,4,7
14,Mario,Gallo,2006-09-29,mario.gallo@scuola.it,8,8,3
15,Peppe,Neri,2008-01-09,peppe.neri@scuola.it,7,3,2
16,Marco,Rossi,2009-12-31,marco.rossi@scuola.it,4,5,4
17,Ivan,Decaro,2005-07-25,ivan.decaro@scuola.it,5,10,8
18,Peppe,Sesto,2009-08-13,peppe.sesto@scuola.it,5,7,5
19,Olga,Micheli,2009-03-17,olga.micheli@scuola.it,3,6,3
20,Tommaso,Ronco,2007-06-16,tommaso.ronco@scuola.it,3,7,8
21,Chiara,Micheli,2009-06-10,chiara.micheli@scuola.it,7,5,4
22,Chiara,Micheli,2004-03-21,chiara.micheli@scuola.it,7,4,2
23,Olga,Vanetti,2008-08-23,olga.vanetti@scuola.it,10,5,7
24,Luigi,Verdi,2004-10-08,luigi.verdi@scuola.it,5,10,9
25,Sara,Neri,2008-07-09,sara.neri@scuola.it,6,2,9
26,Peppe,Fulgori,2009-06-07,peppe.fulgori@scuola.it,7,4,2
27,Chiara,Neri,2006-03-18,chiara.neri@scuola.it,10,6,10
28,Chiara,Fulgori,2009-10-08,chiara.fulgori@scuola.it,2,3,4
29,Michele,Micheli,2007-11-16,michele.micheli@scuola.it,6,9,10
30,Ivan,Gallo,2008-07-02,ivan.gallo@scuola.it,9,6,9
